,jobTitle,company,salary
447,Urgently hiring Digital Marketing Executive For Growing Gaming Studio,IDZ Digital Pvt. Ltd,"1,50,000 - 2,00,000 PA."
448,Urgent opening For IOS Developer,Synechron Technologies Pvt Ltd,"10,00,000 - 20,00,000 PA."
452,Nodejs Developer with Leading MNC on Payroll of Randstad,RANDSTAD INDIA PVT LTD,"9,00,000 - 18,00,000 PA."
460,Microstrategy Developer,ALLIANZ SERVICES PRIVATE LIMITED,"5,00,000 - 9,00,000 PA."
463,We are hiring salesforce developer ( immediate Joiners),Calpion Software Technologies Pvt. Ltd,"50,000 - 3,00,000 PA."
477,Job | Java / Java Full stack Developer,Cibersites India Private Limited,"5,50,000 - 15,50,000 PA."
483,Job | Java / Java Full stack Developer,Cibersites India Private Limited,"5,50,000 - 15,50,000 PA."
495,Opening For Java Fullstack Developer!,Newt Global India Private Limited,"5,00,000 - 12,00,000 PA."
496,Opening For Cloud Native Engineering – DevOps,Newt Global India Private Limited,"4,00,000 - 9,00,000 PA."
500,Opening For Java Fullstack Developer!,Newt Global India Private Limited,"5,00,000 - 12,00,000 PA."
501,Opening For Cloud Native Engineering – DevOps,Newt Global India Private Limited,"4,00,000 - 9,00,000 PA."
505,Urgent requirement For ETL data engineer,PPN Solutions Pvt Ltd.,"6,00,000 - 8,00,000 PA."
509,RPA Developer,Software Data India Ltd.,"5,00,000 - 11,00,000 PA."
510,Web Application Developer,MNC,"11,00,000 - 17,00,000 PA."
511,Java QA Automation,MNC,"6,00,000 - 15,00,000 PA."
512,Mobile Application Developer,MNC,"11,00,000 - 18,00,000 PA."
515,Java Developer,MNC,"16,00,000 - 25,00,000 PA."
522,Powerapps and PowerAutomate Opportunity,CBSI India Pvt. Ltd.,"10,00,000 - 16,00,000 PA."
526,Job Opening For Data Designer- Tech BA For one of our client .,Vinsys IT Services (I) Private Limited,"10,00,000 - 15,00,000 PA."
530,Hiring ReactJS developer For Newt Global,Newt Global India Private Limited,"5,00,000 - 15,00,000 PA."
531,Salesforce Developer,Accenture Solutions Pvt Ltd,"5,00,000 - 15,00,000 PA."
532,Informatica Developer,Accenture Solutions Pvt Ltd,"5,00,000 - 15,00,000 PA."
533,Hiring Mern stack resources For PAN India,Newt Global India Private Limited,"5,00,000 - 15,00,000 PA."
549,Genesys Administrative,Cignex Datamatics Technologies Limited,"9,50,000 - 17,00,000 PA."
552,SAP_developer,Accenture Solutions Pvt Ltd,"5,00,000 - 15,00,000 PA."
553,Data Analyst,AG Technologies pvt Ltd,"2,00,000 - 4,00,000 PA."
554,Data Analyst,AG Technologies pvt Ltd,"2,00,000 - 4,00,000 PA."
555,Immediate Opening For Position Java Inventory @ Capgemini,Capgemini,"3,00,000 - 8,00,000 PA."
564,Looking For Senior QA Engineer For part time position.(Freelancer),Platinus Technologies Private Limited,"2,00,000 - 5,50,000 PA."
565,Looking For Senior Java Developer For part time position.(Freelancer),Platinus Technologies Private Limited,"2,00,000 - 5,50,000 PA."
566,Looking For Full Stack Java Developer For part time position.,Platinus Technologies Private Limited,"2,00,000 - 5,50,000 PA."
567,Looking For Senior DevOps engineer For part time position.(Freelancer),Platinus Technologies Private Limited,"2,00,000 - 5,50,000 PA."
568,Full Time Corporate Trainer - Citrix (Work from Home),Koenig Solutions Ltd,"9,00,000 - 19,00,000 PA."
570,Job | Urgent Opening with V2 Solutions For Backend Developer,V2Solutions,"4,00,000 - 9,00,000 PA."
573,Customer Service Representative,Trigent Software,"1,25,000 - 3,75,000 PA."
574,Customer Service Representative,Trigent Software,"1,25,000 - 3,75,000 PA."
595,Cyber Security - Data Privacy,Pricewaterhouse Coopers Private Limited,"5,00,000 - 12,00,000 PA."
596,Cyber Security - Identity and Access Management,Pricewaterhouse Coopers Private Limited,"5,00,000 - 12,00,000 PA."
601,Cyber Security - Data Privacy,Pricewaterhouse Coopers Private Limited,"5,00,000 - 12,00,000 PA."
602,Cyber Security - Identity and Access Management,Pricewaterhouse Coopers Private Limited,"5,00,000 - 12,00,000 PA."
614,Back Office Executive,Trigent Software,"50,000 - 1,50,000 PA."
638,Immediate Opening For .NET SQL Developer/Renown MNC/WFH AS OF NOW,RANDSTAD INDIA PVT LTD,"4,00,000 - 9,00,000 PA."
651,Customer Service Representative,Trigent Software,"1,25,000 - 5,00,000 PA."
652,Customer Service Representative,Trigent Software,"1,25,000 - 5,00,000 PA."
653,Customer Service Representative,Trigent Software,"1,25,000 - 5,00,000 PA."
654,Customer Service Representative,Trigent Software,"1,25,000 - 5,00,000 PA."
660,Plsql Developer,Oracle India Pvt. Ltd.,"11,00,000 - 21,00,000 PA."
679,Looking For Bench sales recruiter (Work from Home),Platinus Technologies Private Limited,"1,00,000 - 6,00,000 PA."
686,Looking For Bench sales recruiter (Work from Home),Platinus Technologies Private Limited,"1,00,000 - 6,00,000 PA."
696,Non IT Recruiter,Trigent Software,"1,50,000 - 5,00,000 PA."
697,IT Recruiter,Trigent Software,"1,50,000 - 5,00,000 PA."
699,Urgent opening Android Developer_Permanant,Synechron Technologies Pvt Ltd,"7,00,000 - 17,00,000 PA."
709,Immediate Vacancies On Automation/Selenium/Java_C2H_MNC,Sureminds Solutions Pvt. Ltd.,"50,000 - 1,25,000 PA."
711,Immediate Opening For Position Sail point Developer @ Wipro,URS Systems Private Limited,"3,00,000 - 8,00,000 PA."
716,Job Vacancy For PHP Developer | CHETU |,Chetu,"50,000 - 3,00,000 PA."
721,SAP Technical Architect - ABAP HANA with Fiori & Odata,BLOCKNIT TECHNOLOGIES INDIA PRIVATE LIMITED,"12,00,000 - 20,00,000 PA."
722,PHP Web Developer,T- WEB EXPONENT SERVICES PRIVATE LIMITED,"2,00,000 - 5,50,000 PA."
723,Grab An Opportunity That Best Suits your Career!!! PHP Developers,DBXento Systems Pvt. Ltd.,"4,25,000 - 9,25,000 PA."
724,Senior ETL Developer,Kloutix Solutions Pvt. Ltd,"8,00,000 - 18,00,000 PA."
752,Urgent opening For Senior Power BI Developer / Lead,Hexaware Technologies Ltd.,"8,00,000 - 18,00,000 PA."
754,Automation Anywhere,HEXAWARE TECHNOLOGIES LIMITED,"10,00,000 - 18,00,000 PA."
756,Business Analyst-Data Migration,HEXAWARE TECHNOLOGIES LIMITED,"10,00,000 - 20,00,000 PA."
757,Blueprism Certified Technical Lead,HEXAWARE TECHNOLOGIES LIMITED,"10,00,000 - 18,00,000 PA."
758,Hiring For SAP Bo with Crystal Reports - Chennai/Mumbai/Pune,Hexaware Technologies Ltd.,"5,50,000 - 15,50,000 PA."
760,Business Analyst Work from Home,DATA ERPSYSTEMS INDIA PRIVATE LIMITED,"6,50,000 - 9,00,000 PA."
761,Blockchain Developer,SI Telecom Pvt. Ltd.,"6,00,000 - 12,00,000 PA."
763,Agile Coach Full Remote,DATA ERPSYSTEMS INDIA PRIVATE LIMITED,"8,50,000 - 9,00,000 PA."
764,Angular Developer (100% Remote/ Work-From-Hom),Think bridge Software Pvt. Ltd.,"6,00,000 - 12,00,000 PA."
767,"Urgent Opening - .NET CORE, C# developer",Experteye Consulting,"10,00,000 - 12,00,000 PA."
769,Job opportunity-Maximo Developer (Multple positions)-ON Contact Basis,Wise Men Consulting Service India LLP,"6,00,000 - 16,00,000 PA."
772,Sybase SQL with Post trade/ settlement Data Analyst,Larsen & Toubro Infotech Limited,1 Cr and above PA.
776,Senior Full stack developer (Node/React),Vijaya Management Services,"10,00,000 - 18,00,000 PA."
780,ReactJS Developer,ICICLE TECHNOLOGIES PRIVATE LIMITED,"5,50,000 - 14,00,000 PA."
784,Opening For Sr Lighting,Goldstone Technologies Limited,"5,00,000 - 15,00,000 PA."
789,Opening For Sr Lighting,Goldstone Technologies Limited,"5,00,000 - 15,00,000 PA."
790,JOB OPENING_JAVA DEVELOPER_CTS_C2H_PAN INDIA_read JD & APLY,MILLION MINDS INFOTECH PRIVATE LIMITED,"50,000 - 3,00,000 PA."
791,Azure Data Architect,ProArch IT Solutions Private Limited,"2,00,000 - 4,00,000 PA."
792,Azure Data Bricks Developer,Wipro Infotech,"8,50,000 - 18,50,000 PA."
793,Pega,Wipro Infotech,"8,00,000 - 18,00,000 PA."
795,React Js Developer,CBNITS INDIA PRIVATE LIMITED,"2,00,000 - 7,00,000 PA."
797,Flutter Developer,CBNITS INDIA PRIVATE LIMITED,"3,00,000 - 8,00,000 PA."
808,Opening For Java(Immediate joiner or maximum 10 Days),BAHWAN CYBERTEK PRIVATE LIMITED,"3,00,000 - 8,00,000 PA."
813,"SSE / LEAD - MAINFRAME,COBOL,DB2 - 8+ YRS - CONTRACT",GSN Consulting,"10,00,000 - 12,00,000 PA."
814,BORN - Hunting For E-Commerce Project Managers,BORN Commerce Private Limited,"12,00,000 - 22,00,000 PA."
816,BORN Group - Salesforce Platinum Partner looking For SFCC Expertise,BORN Commerce Private Limited,"10,00,000 - 20,00,000 PA."
818,Performance testing openings with Top MNC's,Future Focus Infotech Pvt. Ltd.,"5,00,000 - 15,00,000 PA."
820,Technical Solution Architect - Dynamics 365,To Increase,"18,00,000 - 33,00,000 PA."
827,Angular Developer | MEAN Stack | Strong knowledge of JavaScript,Blockchain Solutions,"6,00,000 - 12,00,000 PA."
829,Oracle Fusion HCM Techno Functional,SUNERA TECHNOLOGIES PVT LTD ( UNIT-II),"8,00,000 - 18,00,000 PA."
830,Urgent opening For Java Developer Pan India,Future Focus Infotech Pvt. Ltd.,"3,00,000 - 6,50,000 PA."
833,PeopleSoft FSCM Techno Functional / Functional,SUNERA TECHNOLOGIES PVT LTD ( UNIT-II),"5,00,000 - 15,00,000 PA."
834,Urgent Opening For RPA/Trubot Product Analyst with Datamatics -Andheri,Datamatics Global services Ltd.,"8,00,000 - 15,00,000 PA."
835,Node JS Full stack Developer (Work from Home),Biz HR IT Solutions,"7,00,000 - 17,00,000 PA."
843,Urgent openings For SAP S4HANA Consultant (Techno-Functional) i,Vijaya Management Services,"3,00,000 - 8,00,000 PA."
848,Opening For Product Pre-Sales with Datamatics - Andheri(east),Datamatics Global services Ltd.,"10,00,000 - 18,00,000 PA."
849,Opening For BA_Product Implementation with Datamatics - Andheri(east),Datamatics Global services Ltd.,"6,00,000 - 15,00,000 PA."
850,Opening For Product Implementation Technical with Datamatics - Andheri,Datamatics Global services Ltd.,"6,00,000 - 15,00,000 PA."
851,Huge openings on Seeburger,Larsen & Toubro Infotech Limited,"50,000 - 2,00,000 PA."
865,Marketing Manager,Manipal Technologies Limited,"10,00,000 - 18,00,000 PA."
874,Customer Service Representative,Trigent Software,"1,25,000 - 3,75,000 PA."
875,Customer Service Representative,Trigent Software,"1,25,000 - 3,75,000 PA."
876,Customer Service Representative,Trigent Software,"1,25,000 - 3,75,000 PA."
893,PHP Developer,RANDSTAD INDIA PVT LTD,"2,25,000 - 4,50,000 PA."
906,Opportunity For Machine Learning,V2Solutions,"8,00,000 - 18,00,000 PA."
907,Opportunity For RPA Developer,V2Solutions,"5,00,000 - 10,00,000 PA."
908,Urgent Opening with V2 Solutions For Backend Developer,V2Solutions,"3,00,000 - 8,00,000 PA."
916,Head of IT Application Services,Piramal Glass,"32,50,000 - 40,00,000 PA."
917,Opening For Business Development Executive,Cyber Managers Software Services Pvt. Ltd.,"2,00,000 - 4,50,000 PA."
920,Head of IT Application Services,Piramal Glass,"32,50,000 - 40,00,000 PA."
921,Opening For Business Development Executive,Cyber Managers Software Services Pvt. Ltd.,"2,00,000 - 4,50,000 PA."
926,Senior SEO Executive - WFH,31West Global Services,"3,00,000 - 6,00,000 PA."
933,Opportunity For Project Manager - Immediate Joiner,Infogain India (P) Ltd.,"12,00,000 - 20,00,000 PA."
951,SAP ABAP Developer with Quinnox Consultancy Services,Quinnox Consultancy Services Limited,"2,00,000 - 7,00,000 PA."
960,SAP ABAP Developer with Quinnox Consultancy Services,Quinnox Consultancy Services Limited,"2,00,000 - 7,00,000 PA."
975,Back Office Executive,Trigent Software,"50,000 - 1,50,000 PA."
1060,Software Engineer C++,ITIVITI INDIA PRIVATE LIMITED,"15,00,000 - 27,50,000 PA."
1063,Java full stack developer,NESS TECHNOLOGIES (INDIA) PRIVATE LIMITED,"4,50,000 - 9,00,000 PA."
1064,Deputy Manager Sales,Pearson Education India,"4,00,000 - 9,00,000 PA."
1067,US IT Technical Recruiter,ml Outsourcing Services Pvt. Ltd.,"2,75,000 - 7,00,000 PA."
1068,Assistant Sales Manager,VMC TECHNOLOGIES PRIVATE LIMITED,"1,00,000 - more than 3,00,000 PA."
1074,MVC Developer,ANASOFTECH PVT. LTD,"5,00,000 - 10,00,000 PA."
1077,Java Developer / Fullstack developer,Survik Software Pvt Ltd,"3,50,000 - 8,50,000 PA."
1079,Immediate Vacancy For Java_Microservices_MNC_C2H,Sureminds Solutions Pvt. Ltd.,"50,000 - 1,00,000 PA."
1081,Java Developer / Fullstack developer,Survik Software Pvt Ltd,"3,50,000 - 8,50,000 PA."
1083,Immediate Vacancy For Java_Microservices_MNC_C2H,Sureminds Solutions Pvt. Ltd.,"50,000 - 1,00,000 PA."
1091,Job Opportunity:: Future Focus Infotech:: SAP Consultant:: PAN India,Future Focus Infotech Pvt. Ltd.,"2,50,000 - 6,50,000 PA."
1094,IBM ODM,AG Technologies pvt Ltd,"7,00,000 - 17,00,000 PA."
1095,IBM Data Power,AG Technologies pvt Ltd,"5,00,000 - 15,00,000 PA."
1097,Immediate Requirement For JAVA-Developer-MNC-Wissen Technology,Wissen Technology,"5,00,000 - 15,00,000 PA."
1098,IBM Data Power,AG Technologies pvt Ltd,"5,00,000 - 15,00,000 PA."
1100,IBM Data Power,AG Technologies pvt Ltd,"5,00,000 - 15,00,000 PA."
1102,Full Stack Developer,avocado labs,"6,00,000 - 13,00,000 PA."
1105,Lead Software Engineer,Newfold Digital,"20,00,000 - 25,00,000 PA."
1106,Sr. React JS Developer,Fugetron Corporation,"10,00,000 - 20,00,000 PA."
1118,"Software Developer - C#, XML, XPath, Java scrip (6 months - 2 year)",Innodata India Pvt. Ltd.,"3,00,000 - 4,50,000 PA."
1130,LTI-Hiring Teradata Professionals !!,Larsen & Toubro Infotech Limited,"10,00,000 - 20,00,000 PA."
1131,LTI-Hiring Teradata Professionals !!,Larsen & Toubro Infotech Limited,"10,00,000 - 20,00,000 PA."
1134,Immediate Requirement For .Net Developer with Azure,BRISKWIN IT SOLUTIONS PRIVATE LIMITED,"7,00,000 - 17,00,000 PA."
1135,Immediate Requirement For MS Dynamics with .Net,BRISKWIN IT SOLUTIONS PRIVATE LIMITED,"5,00,000 - 15,00,000 PA."
1137,Immediate Requirement For MS Dynamics Consultants,BRISKWIN IT SOLUTIONS PRIVATE LIMITED,"10,00,000 - 18,00,000 PA."
1149,"Virtual Drive ETL Testing With Hexaware Tech. Chennai, Pune & Mumbai",Hexaware Technologies Ltd.,"2,50,000 - 7,50,000 PA."
1151,Business Analyst,HEXAWARE TECHNOLOGIES LIMITED,"10,00,000 - 19,00,000 PA."
1191,Blueprism Certified For L3 Support,HEXAWARE TECHNOLOGIES LIMITED,"9,00,000 - 15,00,000 PA."
1192,Celonis Professional-Developer/Business Analyst,HEXAWARE TECHNOLOGIES LIMITED,"7,00,000 - 15,00,000 PA."
1194,Hexaware is Hiring SQL Developers,Hexaware Technologies Ltd.,"10,00,000 - 20,00,000 PA."
1196,Urgent Hiring Freshers For Contract position_Pune Location,RANDSTAD INDIA PVT LTD,"2,00,000 - 2,50,000 PA."
1197,Business Analyst with HR Domain Experience,HEXAWARE TECHNOLOGIES LIMITED,"10,00,000 - 20,00,000 PA."
1201,MNC Hiring For PEGA Business Analyst-Immediate Joiner,GR consultants,"14,00,000 - 24,00,000 PA."
1206,D365 ERP Technical Developer,Cmm5 Level,"5,50,000 - 15,00,000 PA."
1207,D365 ERP,CMM5 Level,"7,00,000 - 17,00,000 PA."
1208,D365 ERP Functional- Finance,CMM5 Level Company,"5,00,000 - 15,00,000 PA."
1210,Magento Developer 2.0 (Remote Work),www.homespice.com,"5,00,000 - 7,00,000 PA."
1217,Salesforce Lightning Developer,Elgebra,"3,00,000 - 8,00,000 PA."
1218,QA Engineer - Manual Testing,First Insight Software Solutions (I) Pvt. Ltd.,"2,00,000 - 7,00,000 PA."
1221,Software Engineer (Sr .NET),Clarion Technologies Pvt Ltd,"2,00,000 - 7,00,000 PA."
1222,Software Engineer (.NET Core),Clarion Technologies Pvt Ltd,"2,00,000 - 7,00,000 PA."
1225,Opening For MDM Admin,Goldstone Technologies Limited,"8,00,000 - 18,00,000 PA."
1226,React.js Fullstack Developer openings with Top MNC's,Future Focus Infotech Pvt. Ltd.,"7,00,000 - 17,00,000 PA."
1227,Service now Developer,Avantha Technologies Limited,"3,00,000 - 5,50,000 PA."
